"level","stem"
"B1","auftritt"
"B1","aufwach"
"B1","aufwart"
"B1","aufzu"
"A2","aufzug"
"B1","aufzusteh"
"A1","aufzzuuug"
"A2","aug"
"B1","augenblick"
"B1","august"
"A1","aus"
"A2","ausbild"
"B1","ausdruck"
"B1","auseinand"
"B1","ausfahrt"
"B1","ausfall"
"A1","ausflug"
"A1","ausfull"
"A2","ausg"
"B1","ausgab"
"A1","ausgang"
"B1","ausgeb"
"B1","ausgebildet"
"B1","ausgedruckt"
"B1","ausgefall"
"B1","ausgefullt"
"A2","ausgegang"
"B1","ausgegeb"
"B1","ausgeh"
"B1","ausgemacht"
"B1","ausgemess"
"A2","ausgepackt"
"B1","ausgereicht"
"B1","ausgerichtet"
"B1","ausgeruht"
"B1","ausgeschlaf"
"B1","ausgeschloss"
"B1","ausgeseh"
"B1","ausgesproch"
"B1","ausgestellt"
"A2","ausgestieg"
"B1","ausgesucht"
"A2","ausgetrag"
"B1","ausgewahlt"
"B1","ausgezeichnet"
"A2","ausgezog"
"B1","aushilf"
"A1","auskunft"
"A1","ausland"
"B1","auslanderin"
"B1","auslanderinn"
"B1","ausleih"
"A1","ausmach"
"A2","ausn"
"B1","ausnahm"
"A2","auspack"
"B1","ausreich"
"B1","ausricht"
"B1","ausruh"
"A1","aussag"
"B1","ausschliess"
"A2","ausseh"
"B1","auss"
"A2","ausserd"
"A2","ausserhalb"
"B1","aussicht"
"B1","aussieht"
"B1","aussprach"
"B1","aussprech"
"A1","aussteig"
"B1","ausstell"
"B1","aussuch"
"A2","austausch"
"A2","austrag"
"B1","auswahl"
"A1","ausweis"
"B1","auszieh"
"B1","auszumach"
"A1","auto"
"A1","autobahn"
"B1","autofabr"
"B1","autofahr"
"A2","automat"
"B1","automechan"
"B1","automobilmess"
"B1","autor"
"B1","autorin"
"B1","autos"
"B1","autotur"
"B1","auu"
"B1","auuf"
"A2","auus"
"A1","auussag"
"B1","auuuf"
"B1","aydin"
"A2","baa"
"A1","baby"
"A2","babysitt"
"A2","bachstrass"
"B1","back"
"B1","backerei"
"A1","backerel"
"B1","backform"
"A2","backt"
"A1","bad"
"B1","badet"
"B1","badewann"
"B1","badezimm"
"A1","bahn"
"A1","bahnhof"
"B1","bahnhofsrestaurant"
"A1","bahnhofstrass"
"A1","bahnsteig"
"A1","bald"
"A1","balkon"
"A2","ball"
"B1","ballett"
"A2","banan"
"B1","bancomat"
"A2","band"
"A1","bank"
"B1","bankkonto"
"B1","bankleitzahl"
"B1","bankomat"
"A1","bar"
"A2","barg"
"B1","bargeld"
"B1","bart"
"A2","basel"
"A2","basketball"
"A2","bast"
"B1","bastelmateriali"
"B1","basteln"
"B1","bastelt"
"B1","bat"
"B1","batteri"
"B1","bau"
"A1","bauch"
"A2","bauchschmerz"
"B1","bauernhof"
"B1","bauingenieur"
"A1","baum"
"A2","baustel"
"A2","baustell"
"B1","baustellenbereich"
"B1","baustil"
"B1","baut"
"B1","bay"
"A2","bdbietet"
"B1","beacht"
"B1","beachtet"
"B1","beamt"
"B1","beamtin"
"B1","beant"
"B1","beantrag"
"B1","beantragt"
"A2","beantwort"
"A2","beantwortet"
"B1","bearbeit"
"A2","bearundet"
"A2","beau"
"A2","beck"
"A2","bedank"
"A2","bedankt"
"B1","bedarf"
"A2","bedeut"
"A2","bedeutet"
"B1","bedi"
"B1","bedient"
"B1","bedienungsanleit"
"B1","beding"
"A2","beduc"
"A2","beeil"
"A2","beeilt"
"B1","beeinfluss"
"B1","beeinflusst"
"A2","beend"
"A2","beendet"
"B1","befand"
"B1","befind"
"B1","befindet"
"B1","befreit"
"B1","befried"
"B1","befund"
"B1","begann"
"B1","begegn"
"B1","begegnet"
"B1","begeistert"
"B1","beginn"
"A1","beginnt"
"B1","begleit"
"B1","begleitet"
"A2","begmnt"
"B1","begonn"
"B1","begrenzt"
"A2","begrund"
"B1","begrundet"
"B1","begruss"
"B1","begrusst"
"B1","behalt"
"B1","behandeln"
"B1","behandelt"
"B1","behandl"
"B1","behaupt"
"B1","behauptet"
"B1","behielt"
"B1","behind"
"B1","behindert"
"B1","behord"
"A1","bei"
"B1","beid"
"A2","beim"
"A1","bein"
"B1","beinah"
"A2","beispi"
"A1","beispiel"
"B1","beispielsweis"
"B1","beiss"
"B1","beisst"
"B1","beit"
"B1","beitrag"
"B1","bekam"
"A1","bekannt"
"A2","bekomm"
"A1","bekommt"
"B1","bel"
"B1","beleg"
"B1","belegt"
"B1","beleid"
"B1","beleidigt"
"A2","beliebt"
"A2","bella"
"B1","bemerk"
"B1","bemerkt"
"B1","bemuh"
"B1","bemuht"
"B1","benot"
"B1","benotigt"
"A1","benutz"
"A2","benutzt"
"B1","benzin"
"B1","benzinpreis"
"B1","beobacht"
"B1","beobachtet"
"A2","bequ"
"B1","bequem"
"A2","ber"
"A2","berat"
"B1","berechn"
"B1","berechnet"
"B1","bereich"
"B1","bereit"
"B1","bereitet"
"B1","berg"
"A1","berghaus"
"B1","bericht"
"B1","berichtet"
"B1","beriet"
"A1","berlin"
"A1","beruf"
"B1","berufstat"
"B1","beruh"
"B1","beruhigt"
"B1","beruhmt"
"B1","beruhrt"
"B1","besass"
"A2","bescha"
"B1","beschad"
"B1","beschadigt"
"B1","beschaft"
"B1","beschaftigt"
"A2","bescheid"
"B1","beschliess"
"B1","beschliesst"
"B1","beschloss"
"B1","beschrank"
"B1","beschrankt"
"A2","beschreib"
"B1","beschreibt"
"B1","beschrieb"
"A2","beschw"
"A2","beschwert"
"B1","besess"
"B1","besetz"
"A1","besetzt"
"A1","besicht"
"A2","besichtigt"
"B1","besitz"
"B1","besitzt"
"B1","besond"
"B1","besorg"
"B1","besorgt"
"B1","besprach"
"B1","besprech"
"B1","bespricht"
"B1","besproch"
"A1","bess"
"B1","besser"
"A1","best"
"B1","bestand"
"A2","bestati"
"A2","bestat"
"B1","bestatigt"
"B1","besteh"
"A2","besteht"
"A1","bestell"
"A2","bestellt"
"B1","bestimmt"
"B1","bestraf"
"B1","bestraft"
"A2","bestucczjht"
"A2","besuch"
"A2","besucht"
"B1","beteil"
"B1","beteiligt"
"B1","betrag"
"B1","betragt"
"B1","betret"
"B1","betreu"
"B1","betreuerin"
"B1","betreut"
"B1","betreverin"
"B1","betrieb"
"B1","betriebsrat"
"B1","betriebsratin"
"B1","betriebssyst"
"B1","betrog"
"B1","betrug"
"B1","betrugt"
"B1","betrunk"
"A1","bett"
"A2","béuch"
"B1","bevolker"
"B1","bevor"
"B1","bewarb"
"B1","beweg"
"B1","bewegt"
"B1","beweis"
"B1","beweist"
"A2","bewerb"
"B1","bewi"
"B1","bewies"
"B1","bewirbt"
"B1","bewohn"
"B1","bewohnerin"
"B1","bewolkt"
"B1","beworb"
"B1","bewund"
"A2","bezah"
"A1","bezahl"
"A2","bezahlt"
